Year,Month,Province,Total_Population,Total_Vehicles,New_Factories,Rainfall,PM2.5
2020,Jan,จันทบุรี,535559,416371.0,14,,23.0
2020,Jan,นครนายก,260081,136953.0,2,,26.0
2020,Jan,กาญจนบุรี,891976,413278.0,29,,66.0
2020,Jan,ราชบุรี,869313,520878.0,34,,58.0
2020,Jan,สุพรรณบุรี,838628,504003.0,28,,37.75
2020,Jan,ประจวบคีรีขันธ์,550678,346970.0,8,,33.5
2020,Jan,เพชรบุรี,482193,343939.0,25,,32.039337995337995
2020,Jan,นราธิวาส,804429,248016.0,2,,17.0
2020,Jan,นครศรีธรรมราช,1550721,645463.0,42,,19.5
2020,Jan,ภูเก็ต,414471,492767.0,14,,16.0
2020,Jan,ยะลา,538602,292796.0,6,,15.5
2020,Jan,สงขลา,1428609,859971.0,44,,16.0
2020,Jan,สุราษฎร์ธานี,1067726,645827.0,51,,21.0
2020,Jan,สตูล,324098,137124.0,10,,13.0
2020,Jan,ตรัง,640574,353915.0,27,,15.0
2020,Jan,ชุมพร,509208,307250.0,41,,32.039337995337995
2020,Jan,กระบี่,477770,259625.0,24,,32.039337995337995
2020,Jan,พัทลุง,523077,254037.0,23,,32.039337995337995
2020,Jan,ปัตตานี,726015,245329.0,7,,32.039337995337995
2020,Jan,ระนอง,194372,97894.0,15,,32.039337995337995
2020,Jan,พังงา,268229,127367.0,4,,32.039337995337995
2020,Feb,กรุงเทพมหานคร,5588222,10971799.0,64,,40.41666666666666
2020,Feb,นนทบุรี,1276745,189955.0,35,,42.5
2020,Feb,ปทุมธานี,1176412,175071.0,77,,42.0
2020,Feb,สมุทรปราการ,1351479,162670.0,205,,43.2
2020,Feb,สมุทรสาคร,586199,244894.0,288,,42.5
2020,Feb,นครปฐม,920729,504023.0,116,,41.0
2020,Feb,พระนครศรีอยุธยา,819088,496186.0,55,,49.0
2020,Feb,สระบุรี,643828,448216.0,56,,59.0
2020,Feb,ลพบุรี,742928,440032.0,27,,42.0
