Year,Month,Province,PM2.5
2020,Mar,นราธิวาส,16.0
2020,Mar,นครศรีธรรมราช,17.5
2020,Mar,ภูเก็ต,14.0
2020,Mar,ยะลา,14.0
2020,Mar,สงขลา,17.75
2020,Mar,สุราษฎร์ธานี,19.0
2020,Mar,สตูล,13.0
2020,Mar,ตรัง,14.666666666666666
2020,Mar,ชุมพร,41.57794871794872
2020,Mar,กระบี่,41.57794871794872
2020,Mar,พัทลุง,41.57794871794872
2020,Mar,ปัตตานี,41.57794871794872
2020,Mar,ระนอง,41.57794871794872
2020,Mar,พังงา,41.57794871794872
2020,Apr,กรุงเทพมหานคร,20.846153846153847
2020,Apr,นนทบุรี,19.0
2020,Apr,ปทุมธานี,23.0
2020,Apr,สมุทรปราการ,21.2
2020,Apr,สมุทรสาคร,19.0
2020,Apr,นครปฐม,19.0
2020,Apr,พระนครศรีอยุธยา,24.0
2020,Apr,สระบุรี,29.5
2020,Apr,ลพบุรี,45.0
2020,Apr,สิงห์บุรี,41.0
2020,Apr,อ่างทอง,38.42352662721893
2020,Apr,ชัยนาท,38.42352662721893
2020,Apr,สมุทรสงคราม,22.5
2020,Apr,นครสวรรค์,30.0
2020,Apr,อุทัยธานี,55.5
2020,Apr,เชียงราย,76.0
2020,Apr,เชียงใหม่,60.0
2020,Apr,น่าน,65.0
2020,Apr,พะเยา,56.0
2020,Apr,พิษณุโลก,47.5
2020,Apr,แพร่,45.0
2020,Apr,แม่ฮ่องสอน,73.0
2020,Apr,ลำปาง,47.75
2020,Apr,ลำพูน,41.0
2020,Apr,ตาก,48.0
2020,Apr,อุตรดิตถ์,57.333333333333336
2020,Apr,สุโขทัย,59.0
2020,Apr,พิจิตร,52.5
2020,Apr,เพชรบูรณ์,49.0
2020,Apr,กำแพงเพชร,59.5
2020,Apr,ขอนแก่น,38.0
2020,Apr,นครราชสีมา,30.0
2020,Apr,นครพนม,49.0
2020,Apr,เลย,33.0
2020,Apr,หนองคาย,45.5
2020,Apr,อุบลราชธานี,50.0
2020,Apr,สกลนคร,38.333333333333336
2020,Apr,อุดรธานี,45.0
2020,Apr,บุรีรัมย์,29.5
2020,Apr,มุกดาหาร,51.5
2020,Apr,บึงกาฬ,58.0
2020,Apr,กาฬสินธุ์,65.0
2020,Apr,ชัยภูมิ,41.0
2020,Apr,ยโสธร,50.0
2020,Apr,อำนาจเจริญ,50.0
2020,Apr,สุรินทร์,31.0
2020,Apr,ศรีสะเกษ,36.0
2020,Apr,ร้อยเอ็ด,38.42352662721893
2020,Apr,มหาสารคาม,38.42352662721893
2020,Apr,หนองบัวลำภู,38.42352662721893
2020,Apr,ฉะเชิงเทรา,19.0
2020,Apr,ชลบุรี,17.0
2020,Apr,ตราด,18.25
2020,Apr,ระยอง,17.6
2020,Apr,สระแก้ว,18.0
2020,Apr,ปราจีนบุรี,25.0
2020,Apr,จันทบุรี,22.0
2020,Apr,นครนายก,29.0
2020,Apr,กาญจนบุรี,35.0
2020,Apr,ราชบุรี,25.0
2020,Apr,สุพรรณบุรี,37.0
2020,Apr,ประจวบคีรีขันธ์,32.0
2020,Apr,เพชรบุรี,38.42352662721893
2020,Apr,นราธิวาส,12.0
2020,Apr,นครศรีธรรมราช,16.0
2020,Apr,ภูเก็ต,10.0
2020,Apr,ยะลา,9.5
2020,Apr,สงขลา,12.0
2020,Apr,สุราษฎร์ธานี,14.0
2020,Apr,สตูล,9.0
2020,Apr,ตรัง,17.0
2020,Apr,ชุมพร,38.42352662721893
2020,Apr,กระบี่,38.42352662721893
2020,Apr,พัทลุง,38.42352662721893
2020,Apr,ปัตตานี,38.42352662721893
2020,Apr,ระนอง,38.42352662721893
2020,Apr,พังงา,38.42352662721893
2020,May,กรุงเทพมหานคร,16.5
2020,May,นนทบุรี,13.0
2020,May,ปทุมธานี,17.0
2020,May,สมุทรปราการ,16.0
2020,May,สมุทรสาคร,15.5
2020,May,นครปฐม,14.0
2020,May,พระนครศรีอยุธยา,16.0
2020,May,สระบุรี,21.5
2020,May,ลพบุรี,24.0
2020,May,สิงห์บุรี,23.0
2020,May,อ่างทอง,19.42876923076923
2020,May,ชัยนาท,19.42876923076923
2020,May,สมุทรสงคราม,11.75
2020,May,นครสวรรค์,18.0
2020,May,อุทัยธานี,26.0
2020,May,เชียงราย,22.0
2020,May,เชียงใหม่,19.0
2020,May,น่าน,21.5
2020,May,พะเยา,21.0
2020,May,พิษณุโลก,18.0
2020,May,แพร่,23.0
2020,May,แม่ฮ่องสอน,18.0
2020,May,ลำปาง,20.5
2020,May,ลำพูน,17.0
2020,May,ตาก,18.0
2020,May,อุตรดิตถ์,25.333333333333332
2020,May,สุโขทัย,23.5
2020,May,พิจิตร,21.5
2020,May,เพชรบูรณ์,25.0
