Year,Month,Province,Rainfall_Final
2021,Jul,Lampang,130.96666666666667
2021,Jul,Lamphun,110.33333333333331
2021,Jul,Lom Sak,157.46666666666667
2021,Jul,Lop Buri,128.43333333333334
2021,Jul,Mae Sariang,208.13333333333333
2021,Jul,Mae Sot,321.3333333333333
2021,Jul,Mukdahan,399.8333333333333
2021,Jul,Nakhon Phanom,417.1
2021,Jul,Nakhon Ratchasima,162.29999999999998
2021,Jul,Nakhon Sawan,149.26666666666668
2021,Jul,Nang Rong,216.26666666666665
2021,Jul,Narathiwat,198.9333333333333
2021,Jul,Nong Khai,438.4333333333333
2021,Jul,Phayao,148.63333333333333
2021,Jul,Phetchabun,201.0
2021,Jul,Phetchaburi,74.06666666666668
2021,Jul,Phitsanulok,184.53333333333333
2021,Jul,Prachin Buri,295.7333333333333
2021,Jul,Ranong,756.1666666666666
2021,Jul,Rayong,212.7333333333333
2021,Jul,Roi Et,272.93333333333334
2021,Jul,Sakon Nakhon,305.43333333333334
2021,Jul,Satun,226.33333333333331
2021,Jul,Songkhla,91.76666666666668
2021,Jul,Suphan Buri,89.56666666666666
2021,Jul,Surin,203.5666666666667
2021,Jul,Tha Tum,28.33333333333333
2021,Jul,Ubon Ratchathani,438.23333333333335
2021,Jul,Uttaradit,180.1
2021,Jul,Wichian Buri,160.70000000000002
2021,Jul,กรุงเทพมหานคร,187.1
2021,Jul,กาญจนบุรี,173.43333333333337
2021,Jul,กำแพงเพชร,144.03333333333333
2021,Jul,ขอนแก่น,228.0
2021,Jul,จันทบุรี,713.6999999999999
2021,Jul,ฉะเชิงเทรา,0.0
2021,Jul,ชลบุรี,190.36666666666667
2021,Jul,ชัยนาท,0.0
2021,Jul,ชัยภูมิ,287.5333333333333
2021,Jul,ชุมพร,250.0666666666667
2021,Jul,ตรัง,0.6666666666666666
2021,Jul,ตราด,1199.1
2021,Jul,ตาก,61.84999999999999
2021,Jul,นครพนม,417.1
2021,Jul,นครราชสีมา,142.13333333333333
2021,Jul,นครศรีธรรมราช,0.0
2021,Jul,นครสวรรค์,149.26666666666668
2021,Jul,นราธิวาส,198.9333333333333
2021,Jul,น่าน,255.66666666666663
2021,Jul,บุรีรัมย์,216.26666666666665
2021,Jul,ปทุมธานี,0.0
2021,Jul,ประจวบคีรีขันธ์,62.06666666666667
2021,Jul,ปราจีนบุรี,275.55
2021,Jul,ปัตตานี,142.13333333333333
2021,Jul,พระนครศรีอยุธยา,0.0
2021,Jul,พะเยา,148.63333333333333
2021,Jul,พังงา,0.0666666666666666
2021,Jul,พัทลุง,0.0
2021,Jul,พิจิตร,0.0
2021,Jul,พิษณุโลก,184.53333333333333
2021,Jul,ภูเก็ต,354.45000000000005
2021,Jul,มหาสารคาม,237.13333333333333
