สถิติโรงงานอุตสาหกรรมที่จดทะเบียนกับกระทรวงอุตสาหกรรม และได้รับอนุญาตให้ประกอบกิจการใหม่ (ตามพระราชบัญญัติโรงงาน พ.ศ. 2535) จำแนกตามภาค และจังหวัด ปี พ.ศ. 2555 - 2564,,,,,,,,,,,,
,,,,,,,,,,,,
,,คนงานรวม (คน),787,"1,922",725,834,260,810,613,199,102,122
,,คนงานชาย,540,"1,129",501,470,178,487,394,103,91,109
,,คนงานหญิง,247,793,224,364,82,323,219,96,11,13
,อุตรดิตถ์,จำนวนโรงงาน (โรงงาน),30,25,24,28,21,30,18,14,8,10
,,เงินทุน (ล้านบาท),460,265,213,"1,705",174,210,951,505,"1,879",238
,,คนงานรวม (คน),355,219,148,253,117,204,164,66,77,152
,,คนงานชาย,243,180,127,211,101,183,124,44,56,94
,,คนงานหญิง,112,39,21,42,16,21,40,22,21,58
,แพร่,จำนวนโรงงาน (โรงงาน),288,160,195,124,132,100,100,52,14,5
,,เงินทุน (ล้านบาท),350,366,"1,660",151,607,859,451,995,77,149
,,คนงานรวม (คน),"1,651",937,"1,468",805,696,696,585,"1,416",167,31
,,คนงานชาย,"1,449",824,"1,052",606,549,579,458,744,107,30
,,คนงานหญิง,202,113,416,199,147,117,127,672,60,1
,น่าน,จำนวนโรงงาน (โรงงาน),18,29,10,12,12,18,17,9,5,5
,,เงินทุน (ล้านบาท),204,294,47,132,85,110,118,38,129,87
,,คนงานรวม (คน),145,144,63,85,74,113,148,59,80,32
,,คนงานชาย,121,106,50,60,49,89,120,40,60,26
,,คนงานหญิง,24,38,13,25,25,24,28,19,20,6
,พะเยา,จำนวนโรงงาน (โรงงาน),17,22,10,9,6,9,15,19,17,19
,,เงินทุน (ล้านบาท),263,684,135,483,37,104,341,186,302,227
,,คนงานรวม (คน),105,304,69,251,57,89,79,109,161,151
,,คนงานชาย,89,191,58,191,49,81,77,98,129,140
,,คนงานหญิง,16,113,11,60,8,8,2,11,32,11
,เชียงราย,จำนวนโรงงาน (โรงงาน),80,61,46,38,37,23,44,53,37,29
,,เงินทุน (ล้านบาท),"2,628","3,366","1,034",679,"1,406",527,"1,177","2,576","1,016","1,141"
,,คนงานรวม (คน),"1,044",909,496,369,616,310,516,932,390,561
,,คนงานชาย,733,659,387,298,424,183,370,545,275,397
,,คนงานหญิง,311,250,109,71,192,127,146,387,115,164
,แม่ฮ่องสอน,จำนวนโรงงาน (โรงงาน),1,3,5,10,3,11,11,6,,1
,,เงินทุน (ล้านบาท),4,3,35,267,15,84,68,40,,16
,,คนงานรวม (คน),6,24,38,94,57,69,91,89,,12
,,คนงานชาย,4,12,34,73,29,61,65,38,,10
,,คนงานหญิง,2,12,4,21,28,8,26,51,,2
,นครสวรรค์,จำนวนโรงงาน (โรงงาน),65,63,71,57,18,13,14,23,30,26
,,เงินทุน (ล้านบาท),922,"4,611","1,941","2,295","12,655","4,648",435,"8,456","2,334",781
,,คนงานรวม (คน),413,"1,019",684,635,593,417,243,646,507,312
,,คนงานชาย,326,605,577,498,467,269,204,499,258,228
,,คนงานหญิง,87,414,107,137,126,148,39,147,249,84
,อุทัยธานี,จำนวนโรงงาน (โรงงาน),8,9,8,4,7,1,4,3,6,4
,,เงินทุน (ล้านบาท),"2,441",223,"1,619",24,131,1,321,55,110,65
,,คนงานรวม (คน),279,81,179,24,48,5,91,24,63,21
,,คนงานชาย,265,67,149,19,30,5,72,14,45,21
,,คนงานหญิง,14,14,30,5,18,0,19,10,18,0
,กำแพงเพชร,จำนวนโรงงาน (โรงงาน),45,36,57,53,31,30,24,39,32,24
,,เงินทุน (ล้านบาท),"4,224","1,485","3,383","2,902","11,746",743,615,645,"4,898",369
,,คนงานรวม (คน),456,765,588,503,767,247,196,418,515,304
,,คนงานชาย,365,532,437,367,585,178,155,264,372,218
,,คนงานหญิง,91,233,151,136,182,69,41,154,143,86
,ตาก,จำนวนโรงงาน (โรงงาน),55,47,52,49,53,48,42,28,14,4
,,เงินทุน (ล้านบาท),697,"2,184",803,815,"2,054",754,569,387,509,"1,427"
,,คนงานรวม (คน),"2,743","1,279","1,665","2,612","2,415","2,084","1,513","1,497",652,569
,,คนงานชาย,747,492,706,"1,046","1,019",892,657,496,253,141
,,คนงานหญิง,"1,996",787,959,"1,566","1,396","1,192",856,"1,001",399,428
,สุโขทัย,จำนวนโรงงาน (โรงงาน),17,38,36,33,14,10,8,19,13,22
,,เงินทุน (ล้านบาท),104,"1,131","1,117",375,787,132,46,112,168,"1,294"
,,คนงานรวม (คน),151,411,249,270,170,154,42,147,115,234
,,คนงานชาย,94,330,184,194,144,61,40,91,70,182
,,คนงานหญิง,57,81,65,76,26,93,2,56,45,52
,พิษณุโลก,จำนวนโรงงาน (โรงงาน),50,64,28,35,15,36,36,27,23,15
,,เงินทุน (ล้านบาท),"1,406","3,585",932,"9,300",589,726,902,558,296,210
,,คนงานรวม (คน),804,"2,271",361,439,257,470,"1,387",352,329,165
,,คนงานชาย,566,"1,135",316,300,151,267,739,220,172,80
,,คนงานหญิง,238,"1,136",45,139,106,203,648,132,157,85
,พิจิตร,จำนวนโรงงาน (โรงงาน),51,49,30,27,13,26,17,10,5,10
,,เงินทุน (ล้านบาท),"1,026","1,869",337,"3,799",214,938,209,149,"1,779","1,422"
,,คนงานรวม (คน),480,398,167,192,135,199,154,88,70,91
,,คนงานชาย,235,271,142,156,114,129,115,59,56,89
,,คนงานหญิง,245,127,25,36,21,70,39,29,14,2
,เพชรบูรณ์,จำนวนโรงงาน (โรงงาน),60,41,30,45,49,33,55,46,32,34
,,เงินทุน (ล้านบาท),473,"2,290",264,"7,092","4,289",797,"1,844",642,"2,140",490
,,คนงานรวม (คน),279,295,182,749,918,385,512,410,263,443
,,คนงานชาย,223,234,132,640,626,230,387,279,189,243
,,คนงานหญิง,56,61,50,109,292,155,125,131,74,200
ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,จำนวนโรงงาน (โรงงาน),791,878,851,729,696,610,598,445,425,435
,,เงินทุน (ล้านบาท),"40,608","49,784","70,362","38,049","41,596","41,897","32,363","29,348","19,485","13,898"
,,คนงานรวม (คน),"14,153","13,620","13,496","13,534","10,164","9,213","8,671","8,903","9,964","7,936"
,,คนงานชาย,"8,652","9,309","8,939","9,104","6,859","6,386","5,874","5,275","5,997","4,316"
,,คนงานหญิง,"5,501","4,311","4,557","4,430","3,305","2,827","2,797","3,628","3,967","3,620"
,นครราชสีมา,จำนวนโรงงาน (โรงงาน),116,171,117,103,121,114,92,62,73,70
,,เงินทุน (ล้านบาท),"10,715","17,486","10,111","5,941","22,347","8,717","6,040","11,140","3,347","2,355"
,,คนงานรวม (คน),"3,115","5,426","2,983","3,046","2,104","2,859","1,368","2,510","2,403","2,350"
,,คนงานชาย,"1,743","3,314","1,417","1,658","1,389","1,829",870,"1,409","1,187",760
,,คนงานหญิง,"1,372","2,112","1,566","1,388",715,"1,030",498,"1,101","1,216","1,590"
,บุรีรัมย์,จำนวนโรงงาน (โรงงาน),48,31,19,36,28,34,21,25,19,11
,,เงินทุน (ล้านบาท),"1,400","3,799","5,483","2,951","1,216",679,930,"4,871","1,524",639
,,คนงานรวม (คน),"1,414",961,226,860,370,328,211,595,410,214
,,คนงานชาย,517,386,182,521,272,264,130,383,253,145
,,คนงานหญิง,897,575,44,339,98,64,81,212,157,69
,สุรินทร์,จำนวนโรงงาน (โรงงาน),27,19,29,17,27,22,20,17,17,21
,,เงินทุน (ล้านบาท),692,562,"2,199",290,437,397,721,302,381,"1,295"
,,คนงานรวม (คน),483,270,303,170,324,222,180,242,233,209
,,คนงานชาย,389,200,242,131,244,155,153,172,167,165
,,คนงานหญิง,94,70,61,39,80,67,27,70,66,44
,ศรีสะเกษ,จำนวนโรงงาน (โรงงาน),28,44,36,36,37,27,26,17,12,13
,,เงินทุน (ล้านบาท),811,716,620,"1,249",759,510,217,268,192,"1,568"
,,คนงานรวม (คน),231,461,361,362,268,367,198,144,114,252
,,คนงานชาย,204,274,274,293,227,248,120,115,85,209
,,คนงานหญิง,27,187,87,69,41,119,78,29,29,43
,อุบลราชธานี,จำนวนโรงงาน (โรงงาน),66,109,89,80,55,65,45,46,52,39
,,เงินทุน (ล้านบาท),"1,472","5,144","2,595","9,529","1,142","21,231",621,953,"6,635",642
,,คนงานรวม (คน),"1,421",932,"1,050","1,801",446,"1,079",331,543,"2,486",516
,,คนงานชาย,869,819,771,"1,101",381,765,286,411,"1,329",363
,,คนงานหญิง,552,113,279,700,65,314,45,132,"1,157",153
,ยโสธร,จำนวนโรงงาน (โรงงาน),22,19,14,17,25,20,22,11,17,15
,,เงินทุน (ล้านบาท),244,268,"1,015",419,301,94,322,68,220,146
,,คนงานรวม (คน),134,150,435,152,203,92,166,72,166,122
,,คนงานชาย,115,125,252,126,192,88,165,72,137,103
,,คนงานหญิง,19,25,183,26,11,4,1,0,29,19
,ชัยภูมิ,จำนวนโรงงาน (โรงงาน),35,54,82,33,21,29,33,30,11,12
,,เงินทุน (ล้านบาท),372,"5,413","6,454","6,553",998,279,374,243,153,335
,,คนงานรวม (คน),723,625,886,423,291,167,166,"1,237",264,57
,,คนงานชาย,267,427,681,330,183,135,133,211,151,51
,,คนงานหญิง,456,198,205,93,108,32,33,"1,026",113,6
,อำนาจเจริญ,จำนวนโรงงาน (โรงงาน),24,12,30,14,14,13,12,6,9,7
,,เงินทุน (ล้านบาท),290,378,227,134,103,755,"5,674","1,727",117,221
,,คนงานรวม (คน),208,212,198,103,112,222,291,97,114,56
,,คนงานชาย,163,179,165,90,99,149,266,82,101,46
,,คนงานหญิง,45,33,33,13,13,73,25,15,13,10
,บึงกาฬ,จำนวนโรงงาน (โรงงาน),20,16,9,20,22,9,37,11,18,17
,,เงินทุน (ล้านบาท),539,"1,805","1,521",769,311,244,527,200.5,254,398.96
,,คนงานรวม (คน),386,179,256,358,421,170,373,162,491,254
,,คนงานชาย,258,149,166,306,360,146,329,144,388,215
,,คนงานหญิง,128,30,90,52,61,24,44,18,103,39
,หนองบัวลำภู,จำนวนโรงงาน (โรงงาน),17,6,8,5,9,8,13,7,3,8
,,เงินทุน (ล้านบาท),"5,658",44,91,95,88,165,488,588,44,172
,,คนงานรวม (คน),895,99,91,50,108,123,292,103,27,45
,,คนงานชาย,854,75,78,40,100,95,202,80,24,43
,,คนงานหญิง,41,24,13,10,8,28,90,23,3,2
,ขอนแก่น,จำนวนโรงงาน (โรงงาน),78,73,77,58,39,60,51,48,50,50
,,เงินทุน (ล้านบาท),"8,308","3,524","19,441","2,751",837,"2,332","1,442","2,828","3,471","2,009"
,,คนงานรวม (คน),"1,926",912,"2,336","1,076",582,866,"1,770",953,"1,433","1,728"
,,คนงานชาย,"1,159",700,"1,355",774,436,592,859,640,843,697
,,คนงานหญิง,767,212,981,302,146,274,911,313,590,"1,031"
,อุดรธานี,จำนวนโรงงาน (โรงงาน),51,51,63,58,55,36,35,29,31,21
,,เงินทุน (ล้านบาท),"3,592","3,357",935,"1,785","3,110","1,194","7,415","1,035",664,369
,,คนงานรวม (คน),858,983,636,"2,224",788,515,595,376,389,267
,,คนงานชาย,581,762,583,"1,543",633,349,453,306,296,215
,,คนงานหญิง,277,221,53,681,155,166,142,70,93,52
,เลย,จำนวนโรงงาน (โรงงาน),29,27,48,27,25,23,17,11,4,16
,,เงินทุน (ล้านบาท),274,351,"14,654",825,554,716,296,96,172,215
,,คนงานรวม (คน),172,250,"1,568",535,175,156,279,108,86,181
,,คนงานชาย,143,190,"1,245",387,144,116,200,79,74,152
,,คนงานหญิง,29,60,323,148,31,40,79,29,12,29
,หนองคาย,จำนวนโรงงาน (โรงงาน),33,19,13,20,15,19,12,8,12,14
,,เงินทุน (ล้านบาท),601,"1,216",494,257,134,358,164,"1,837",191,162
,,คนงานรวม (คน),286,214,150,191,115,249,129,176,110,155
,,คนงานชาย,203,187,128,162,90,176,101,127,83,138
,,คนงานหญิง,83,27,22,29,25,73,28,49,27,17
,มหาสารคาม,จำนวนโรงงาน (โรงงาน),28,28,34,24,20,18,20,12,16,10
,,เงินทุน (ล้านบาท),293,549,"2,430",394,298,802,435,228,353,396
,,คนงานรวม (คน),242,256,463,222,260,381,286,379,154,155
,,คนงานชาย,141,172,320,156,123,224,157,220,126,94
,,คนงานหญิง,101,84,143,66,137,157,129,159,28,61
,ร้อยเอ็ด,จำนวนโรงงาน (โรงงาน),55,56,40,49,47,26,37,27,25,41
