, จำพวกที่ 2 ,,,,,, จำพวกที่ 3 ,,,,,, รวมทั้งหมด ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จังหวัด, จำนวน , เงินทุน , จำนวนคนงาน(คน) ,,, เครื่องจักร , จำนวน , เงินทุน , จำนวนคนงาน(คน) ,,, เครื่องจักร , จำนวน , เงินทุน , จำนวนคนงาน(คน) ,,, เครื่องจักร ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, (โรง) , (ล้านบาท) , ชาย , หญิง , รวม , (แรงม้า) , (โรง) , (ล้านบาท) , ชาย , หญิง , รวม , (แรงม้า) , (โรง) , (ล้านบาท) , ชาย , หญิง , รวม , (แรงม้า) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
บึงกาฬ, -   , -   , -   , -   , -   , -   , 5 , 429.55 , 99 , 26 , 125 ," 23,627.32 ", 5 , 429.55 , 99 , 26 , 125 ," 23,627.32 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
บุรีรัมย์, -   , -   , -   , -   , -   , -   , 12 , 623.27 , 218 , 31 , 249 ," 16,094.77 ", 12 , 623.27 , 218 , 31 , 249 ," 16,094.77 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ปทุมธานี, 8 , 470.78 , 70 , 98 , 168 , 511.41 , 72 ," 11,731.90 ", 968 , 788 ," 1,756 "," 47,333.18 ", 80 ," 12,202.68 "," 1,038 ", 886 ," 1,924 "," 47,844.59 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ประจวบคีรีขันธ์, -   , -   , -   , -   , -   , -   , 9 , 249.71 , 77 , 52 , 129 ," 10,424.58 ", 9 , 249.71 , 77 , 52 , 129 ," 10,424.58 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ปราจีนบุรี, -   , -   , -   , -   , -   , -   , 48 ," 5,787.42 "," 1,074 ", 804 ," 1,878 "," 265,485.71 ", 48 ," 5,787.42 "," 1,074 ", 804 ," 1,878 "," 265,485.71 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ปัตตานี, -   , -   , -   , -   , -   , -   , 4 , 32.10 , 20 , -   , 20 ," 2,522.17 ", 4 , 32.10 , 20 , -   , 20 ," 2,522.17 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
พระนครศรีอยุธยา, 1 , 4.85 , 3 , 2 , 5 , 72.00 , 72 ," 24,065.78 "," 2,866 "," 1,309 "," 4,175 "," 119,993.96 ", 73 ," 24,070.63 "," 2,869 "," 1,311 "," 4,180 "," 120,065.96 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
พะเยา, 2 , 11.30 , 8 , 2 , 10 , 111.22 , 14 , 534.63 , 83 , 31 , 114 ," 3,634.69 ", 16 , 545.93 , 91 , 33 , 124 ," 3,745.91 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
พังงา, -   , -   , -   , -   , -   , -   , 4 , 139.70 , 31 , 6 , 37 , 935.80 , 4 , 139.70 , 31 , 6 , 37 , 935.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
พัทลุง, -   , -   , -   , -   , -   , -   , 34 , 255.44 , 146 , 31 , 177 ," 9,839.22 ", 34 , 255.44 , 146 , 31 , 177 ," 9,839.22 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
