Station,Year,Month,PM2.5
40T,2022,Jul,10.0
40T,2022,Aug,8.0
40T,2022,Sep,10.0
40T,2022,Oct,14.0
40T,2022,Nov,15.0
40T,2022,Dec,21.0
68T,2022,Jan,30.0
68T,2022,Feb,33.0
68T,2022,Mar,38.0
68T,2022,Apr,33.0
68T,2022,May,14.0
68T,2022,Jun,10.0
68T,2022,Jul,9.0
68T,2022,Aug,9.0
68T,2022,Sep,10.0
68T,2022,Oct,17.0
68T,2022,Nov,23.0
68T,2022,Dec,35.0
39T,2022,Jan,20.0
39T,2022,Feb,27.0
39T,2022,Mar,33.0
39T,2022,Apr,40.0
39T,2022,May,13.0
39T,2022,Jun,8.0
39T,2022,Jul,6.0
39T,2022,Aug,6.0
39T,2022,Sep,6.0
39T,2022,Oct,11.0
39T,2022,Nov,11.0
39T,2022,Dec,15.0
37T,2022,Jan,29.0
37T,2022,Feb,33.0
37T,2022,Mar,39.0
37T,2022,Apr,42.0
37T,2022,May,22.0
37T,2022,Jun,14.0
37T,2022,Jul,12.0
37T,2022,Aug,11.0
37T,2022,Sep,12.0
37T,2022,Oct,18.0
37T,2022,Nov,17.0
37T,2022,Dec,28.0
69T,2022,Jan,33.0
69T,2022,Feb,32.0
69T,2022,Mar,40.0
69T,2022,Apr,44.0
69T,2022,May,16.0
69T,2022,Jun,11.0
69T,2022,Jul,10.0
69T,2022,Aug,9.0
69T,2022,Sep,11.0
69T,2022,Oct,22.0
69T,2022,Nov,21.0
69T,2022,Dec,28.0
58T,2022,Jan,18.0
58T,2022,Feb,36.0
58T,2022,Mar,83.0
58T,2022,Apr,50.0
58T,2022,May,13.0
58T,2022,Jun,7.0
58T,2022,Jul,5.0
58T,2022,Aug,9.0
58T,2022,Sep,8.0
58T,2022,Oct,11.0
58T,2022,Nov,12.0
58T,2022,Dec,16.0
86T,2022,Jan,36.0
86T,2022,Feb,27.0
86T,2022,Mar,34.0
86T,2022,Apr,42.0
86T,2022,May,12.0
86T,2022,Jun,8.0
86T,2022,Jul,10.0
86T,2022,Aug,10.0
86T,2022,Sep,10.0
86T,2022,Oct,20.0
86T,2022,Nov,26.0
86T,2022,Dec,37.0
70T,2022,Jan,29.0
70T,2022,Feb,29.0
70T,2022,Mar,38.0
70T,2022,Apr,38.0
70T,2022,May,16.0
70T,2022,Jun,10.0
70T,2022,Jul,8.0
70T,2022,Aug,8.0
70T,2022,Sep,10.0
70T,2022,Oct,15.0
70T,2022,Nov,17.0
70T,2022,Dec,27.0
75T,2022,Jan,19.0
75T,2022,Feb,24.0
75T,2022,Mar,31.0
75T,2022,Apr,42.0
75T,2022,May,16.0
75T,2022,Jun,10.0
75T,2022,Jul,8.0
75T,2022,Aug,8.0
75T,2022,Sep,10.0
75T,2022,Oct,14.0
75T,2022,Nov,13.0
75T,2022,Dec,22.0
67T,2022,Jan,30.0
67T,2022,Feb,35.0
67T,2022,Mar,37.0
67T,2022,Apr,49.0
67T,2022,May,19.0
67T,2022,Jun,15.0
67T,2022,Jul,12.0
67T,2022,Aug,17.0
67T,2022,Sep,19.0
67T,2022,Oct,26.0
67T,2022,Nov,26.0
67T,2022,Dec,37.0
41T,2022,Jan,33.0
41T,2022,Feb,27.0
41T,2022,Mar,30.0
41T,2022,Apr,32.0
41T,2022,May,14.0
41T,2022,Jun,11.0
41T,2022,Jul,12.0
41T,2022,Aug,11.0
41T,2022,Sep,10.0
41T,2022,Oct,17.0
41T,2022,Nov,20.0
41T,2022,Dec,27.0
36T,2022,Jan,19.0
36T,2022,Feb,23.0
36T,2022,Mar,36.0
36T,2022,Apr,39.0
36T,2022,May,16.0
36T,2022,Jun,10.0
36T,2022,Jul,8.0
36T,2022,Aug,9.0
36T,2022,Sep,9.0
36T,2022,Oct,16.0
36T,2022,Nov,19.0
36T,2022,Dec,27.0
35T,2022,Jan,24.0
35T,2022,Feb,30.0
35T,2022,Mar,43.0
35T,2022,Apr,41.0
35T,2022,May,19.0
35T,2022,Jun,14.0
35T,2022,Jul,12.0
35T,2022,Aug,12.0
35T,2022,Sep,14.0
35T,2022,Oct,18.0
35T,2022,Nov,22.0
35T,2022,Dec,31.0
73T,2022,Jan,24.0
73T,2022,Feb,27.0
73T,2022,Mar,43.0
73T,2022,Apr,51.0
73T,2022,May,21.0
73T,2022,Jun,14.0
73T,2022,Jul,11.0
73T,2022,Aug,11.0
73T,2022,Sep,14.0
73T,2022,Oct,19.0
73T,2022,Nov,22.0
73T,2022,Dec,32.0
57T,2022,Jan,20.0
57T,2022,Feb,24.0
57T,2022,Mar,39.0
57T,2022,Apr,38.0
57T,2022,May,18.0
57T,2022,Jun,10.0
57T,2022,Jul,8.0
57T,2022,Aug,8.0
57T,2022,Sep,10.0
57T,2022,Oct,10.0
57T,2022,Nov,21.0
57T,2022,Dec,29.0
99T,2022,Jan,
99T,2022,Feb,
99T,2022,Mar,
99T,2022,Apr,
99T,2022,May,
99T,2022,Jun,
99T,2022,Jul,10.0
99T,2022,Aug,10.0
99T,2022,Sep,12.0
99T,2022,Oct,19.0
99T,2022,Nov,22.0
99T,2022,Dec,23.0
103T,2022,Jan,
103T,2022,Feb,
103T,2022,Mar,
103T,2022,Apr,
103T,2022,May,
103T,2022,Jun,
103T,2022,Jul,6.0
103T,2022,Aug,8.0
103T,2022,Sep,9.0
103T,2022,Oct,21.0
103T,2022,Nov,30.0
103T,2022,Dec,35.0
84T,2022,Jan,25.0
84T,2022,Feb,21.0
84T,2022,Mar,14.0
84T,2022,Apr,25.0
84T,2022,May,11.0
84T,2022,Jun,8.0
84T,2022,Jul,7.0
84T,2022,Aug,7.0
84T,2022,Sep,8.0
84T,2022,Oct,21.0
84T,2022,Nov,23.0
84T,2022,Dec,35.0
85T,2022,Jan,33.0
85T,2022,Feb,28.0
85T,2022,Mar,25.0
85T,2022,Apr,36.0
85T,2022,May,13.0
85T,2022,Jun,9.0
85T,2022,Jul,10.0
85T,2022,Aug,10.0
85T,2022,Sep,9.0
85T,2022,Oct,19.0
85T,2022,Nov,23.0
85T,2022,Dec,30.0
25T,2022,Jan,31.0
25T,2022,Feb,28.0
25T,2022,Mar,23.0
25T,2022,Apr,29.0
25T,2022,May,17.0
25T,2022,Jun,14.0
25T,2022,Jul,14.0
25T,2022,Aug,15.0
25T,2022,Sep,17.0
25T,2022,Oct,21.0
25T,2022,Nov,21.0
25T,2022,Dec,26.0
21T,2022,Jan,31.0
21T,2022,Feb,27.0
21T,2022,Mar,25.0
21T,2022,Apr,32.0
21T,2022,May,14.0
21T,2022,Jun,12.0
21T,2022,Jul,11.0
21T,2022,Aug,11.0
21T,2022,Sep,12.0
21T,2022,Oct,19.0
21T,2022,Nov,22.0
21T,2022,Dec,26.0
24T,2022,Jan,48.0
24T,2022,Feb,45.0
24T,2022,Mar,45.0
24T,2022,Apr,42.0
24T,2022,May,30.0
24T,2022,Jun,25.0
24T,2022,Jul,26.0
24T,2022,Aug,26.0
24T,2022,Sep,30.0
24T,2022,Oct,33.0
24T,2022,Nov,37.0
24T,2022,Dec,36.0
26T,2022,Jan,35.0
26T,2022,Feb,30.0
26T,2022,Mar,25.0
26T,2022,Apr,34.0
26T,2022,May,15.0
26T,2022,Jun,10.0
26T,2022,Jul,12.0
26T,2022,Aug,14.0
26T,2022,Sep,13.0
26T,2022,Oct,28.0
26T,2022,Nov,31.0
26T,2022,Dec,37.0
79T,2022,Jan,35.0
79T,2022,Feb,29.0
79T,2022,Mar,24.0
79T,2022,Apr,22.0
79T,2022,May,10.0
79T,2022,Jun,7.0
79T,2022,Jul,9.0
79T,2022,Aug,7.0
79T,2022,Sep,6.0
79T,2022,Oct,11.0
79T,2022,Nov,12.0
79T,2022,Dec,16.0
71T,2022,Jan,30.0
71T,2022,Feb,28.0
71T,2022,Mar,25.0
71T,2022,Apr,25.0
71T,2022,May,11.0
71T,2022,Jun,11.0
71T,2022,Jul,9.0
71T,2022,Aug,8.0
71T,2022,Sep,9.0
71T,2022,Oct,17.0
71T,2022,Nov,17.0
71T,2022,Dec,24.0
77T,2022,Jan,35.0
77T,2022,Feb,35.0
77T,2022,Mar,32.0
77T,2022,Apr,32.0
77T,2022,May,17.0
77T,2022,Jun,18.0
77T,2022,Jul,16.0
77T,2022,Aug,14.0
77T,2022,Sep,16.0
77T,2022,Oct,19.0
77T,2022,Nov,22.0
77T,2022,Dec,25.0
100T,2022,Jan,
100T,2022,Feb,
100T,2022,Mar,
100T,2022,Apr,
100T,2022,May,
100T,2022,Jun,
100T,2022,Jul,8.0
100T,2022,Aug,7.0
100T,2022,Sep,8.0
100T,2022,Oct,13.0
100T,2022,Nov,13.0
100T,2022,Dec,16.0
74T,2022,Jan,27.0
74T,2022,Feb,23.0
74T,2022,Mar,17.0
74T,2022,Apr,23.0
74T,2022,May,13.0
74T,2022,Jun,11.0
74T,2022,Jul,11.0
74T,2022,Aug,10.0
74T,2022,Sep,11.0
74T,2022,Oct,18.0
74T,2022,Nov,20.0
74T,2022,Dec,23.0
31T,2022,Jan,26.0
31T,2022,Feb,24.0
31T,2022,Mar,19.0
31T,2022,Apr,26.0
31T,2022,May,15.0
31T,2022,Jun,12.0
31T,2022,Jul,12.0
31T,2022,Aug,12.0
31T,2022,Sep,13.0
31T,2022,Oct,22.0
31T,2022,Nov,22.0
31T,2022,Dec,24.0
29T,2022,Jan,30.0
29T,2022,Feb,25.0
29T,2022,Mar,19.0
29T,2022,Apr,25.0
29T,2022,May,15.0
29T,2022,Jun,14.0
29T,2022,Jul,12.0
29T,2022,Aug,12.0
29T,2022,Sep,14.0
29T,2022,Oct,24.0
29T,2022,Nov,23.0
29T,2022,Dec,27.0
30T,2022,Jan,23.0
30T,2022,Feb,20.0
30T,2022,Mar,14.0
30T,2022,Apr,21.0
30T,2022,May,11.0
30T,2022,Jun,12.0
30T,2022,Jul,17.0
30T,2022,Aug,16.0
30T,2022,Sep,14.0
30T,2022,Oct,24.0
30T,2022,Nov,25.0
30T,2022,Dec,34.0
28T,2022,Jan,27.0
28T,2022,Feb,26.0
28T,2022,Mar,22.0
28T,2022,Apr,27.0
28T,2022,May,13.0
28T,2022,Jun,11.0
28T,2022,Jul,9.0
28T,2022,Aug,9.0
28T,2022,Sep,11.0
28T,2022,Oct,14.0
28T,2022,Nov,16.0
28T,2022,Dec,19.0
34T,2022,Jan,29.0
34T,2022,Feb,25.0
34T,2022,Mar,19.0
34T,2022,Apr,27.0
34T,2022,May,12.0
34T,2022,Jun,10.0
34T,2022,Jul,9.0
34T,2022,Aug,9.0
34T,2022,Sep,10.0
34T,2022,Oct,10.0
34T,2022,Nov,
34T,2022,Dec,
87T,2022,Jan,18.0
87T,2022,Feb,17.0
87T,2022,Mar,15.0
87T,2022,Apr,19.0
87T,2022,May,8.0
87T,2022,Jun,7.0
87T,2022,Jul,5.0
87T,2022,Aug,5.0
87T,2022,Sep,5.0
87T,2022,Oct,12.0
87T,2022,Nov,11.0
87T,2022,Dec,14.0
33T,2022,Jan,23.0
33T,2022,Feb,22.0
33T,2022,Mar,17.0
33T,2022,Apr,23.0
33T,2022,May,11.0
33T,2022,Jun,10.0
33T,2022,Jul,9.0
33T,2022,Aug,10.0
33T,2022,Sep,13.0
33T,2022,Oct,
33T,2022,Nov,16.0
33T,2022,Dec,20.0
60T,2022,Jan,34.0
60T,2022,Feb,29.0
60T,2022,Mar,26.0
60T,2022,Apr,27.0
60T,2022,May,13.0
60T,2022,Jun,12.0
60T,2022,Jul,10.0
60T,2022,Aug,10.0
60T,2022,Sep,12.0
60T,2022,Oct,18.0
60T,2022,Nov,19.0
60T,2022,Dec,23.0
32T,2022,Jan,26.0
32T,2022,Feb,25.0
32T,2022,Mar,20.0
32T,2022,Apr,27.0
32T,2022,May,14.0
32T,2022,Jun,12.0
32T,2022,Jul,11.0
32T,2022,Aug,11.0
32T,2022,Sep,12.0
32T,2022,Oct,18.0
32T,2022,Nov,22.0
32T,2022,Dec,14.0
101T,2022,Jan,
101T,2022,Feb,
101T,2022,Mar,
101T,2022,Apr,
101T,2022,May,
101T,2022,Jun,
101T,2022,Jul,7.0
101T,2022,Aug,6.0
101T,2022,Sep,7.0
101T,2022,Oct,19.0
101T,2022,Nov,14.0
101T,2022,Dec,20.0
102T,2022,Jan,
102T,2022,Feb,
102T,2022,Mar,
102T,2022,Apr,
102T,2022,May,
102T,2022,Jun,
102T,2022,Jul,9.0
102T,2022,Aug,9.0
102T,2022,Sep,11.0
102T,2022,Oct,19.0
102T,2022,Nov,16.0
102T,2022,Dec,17.0
91T,2022,Jan,29.0
91T,2022,Feb,24.0
91T,2022,Mar,32.0
91T,2022,Apr,37.0
91T,2022,May,12.0
91T,2022,Jun,9.0
91T,2022,Jul,7.0
91T,2022,Aug,7.0
91T,2022,Sep,10.0
91T,2022,Oct,18.0
91T,2022,Nov,18.0
91T,2022,Dec,22.0
90T,2022,Jan,21.0
90T,2022,Feb,18.0
90T,2022,Mar,29.0
90T,2022,Apr,33.0
90T,2022,May,12.0
90T,2022,Jun,10.0
90T,2022,Jul,8.0
90T,2022,Aug,7.0
90T,2022,Sep,10.0
90T,2022,Oct,20.0
90T,2022,Nov,16.0
90T,2022,Dec,20.0
82T,2022,Jan,37.0
82T,2022,Feb,46.0
82T,2022,Mar,55.0
82T,2022,Apr,56.0
82T,2022,May,17.0
82T,2022,Jun,12.0
82T,2022,Jul,10.0
82T,2022,Aug,9.0
82T,2022,Sep,11.0
82T,2022,Oct,24.0
82T,2022,Nov,25.0
82T,2022,Dec,30.0
83T,2022,Jan,26.0
83T,2022,Feb,24.0
83T,2022,Mar,39.0
83T,2022,Apr,43.0
83T,2022,May,13.0
83T,2022,Jun,11.0
83T,2022,Jul,8.0
83T,2022,Aug,7.0
83T,2022,Sep,8.0
83T,2022,Oct,19.0
83T,2022,Nov,16.0
83T,2022,Dec,20.0
88T,2022,Jan,25.0
88T,2022,Feb,22.0
88T,2022,Mar,40.0
88T,2022,Apr,35.0
88T,2022,May,16.0
88T,2022,Jun,16.0
88T,2022,Jul,11.0
88T,2022,Aug,8.0
88T,2022,Sep,12.0
88T,2022,Oct,24.0
88T,2022,Nov,19.0
88T,2022,Dec,28.0
72T,2022,Jan,29.0
72T,2022,Feb,28.0
72T,2022,Mar,35.0
72T,2022,Apr,36.0
72T,2022,May,13.0
72T,2022,Jun,8.0
72T,2022,Jul,7.0
72T,2022,Aug,6.0
72T,2022,Sep,8.0
72T,2022,Oct,22.0
72T,2022,Nov,19.0
72T,2022,Dec,29.0
47T,2022,Jan,34.0
47T,2022,Feb,34.0
47T,2022,Mar,35.0
47T,2022,Apr,32.0
47T,2022,May,18.0
47T,2022,Jun,17.0
47T,2022,Jul,17.0
47T,2022,Aug,15.0
47T,2022,Sep,16.0
47T,2022,Oct,24.0
47T,2022,Nov,23.0
47T,2022,Dec,28.0
46T,2022,Jan,42.0
46T,2022,Feb,38.0
46T,2022,Mar,40.0
46T,2022,Apr,41.0
46T,2022,May,20.0
46T,2022,Jun,17.0
46T,2022,Jul,15.0
46T,2022,Aug,14.0
46T,2022,Sep,18.0
46T,2022,Oct,
46T,2022,Nov,
46T,2022,Dec,42.0
93T,2022,Jan,13.0
93T,2022,Feb,10.0
93T,2022,Mar,12.0
93T,2022,Apr,14.0
93T,2022,May,10.0
93T,2022,Jun,9.0
93T,2022,Jul,13.0
93T,2022,Aug,11.0
93T,2022,Sep,11.0
93T,2022,Oct,9.0
93T,2022,Nov,10.0
93T,2022,Dec,10.0
80T,2022,Jan,13.0
80T,2022,Feb,14.0
80T,2022,Mar,15.0
80T,2022,Apr,16.0
80T,2022,May,14.0
80T,2022,Jun,9.0
80T,2022,Jul,9.0
80T,2022,Aug,10.0
80T,2022,Sep,10.0
80T,2022,Oct,9.0
80T,2022,Nov,12.0
80T,2022,Dec,15.0
78T,2022,Jan,12.0
78T,2022,Feb,12.0
78T,2022,Mar,11.0
78T,2022,Apr,12.0
78T,2022,May,11.0
78T,2022,Jun,8.0
78T,2022,Jul,10.0
78T,2022,Aug,10.0
78T,2022,Sep,9.0
78T,2022,Oct,9.0
78T,2022,Nov,9.0
78T,2022,Dec,9.0
44T,2022,Jan,18.0
44T,2022,Feb,14.0
44T,2022,Mar,16.0
44T,2022,Apr,18.0
44T,2022,May,16.0
44T,2022,Jun,16.0
44T,2022,Jul,19.0
44T,2022,Aug,17.0
44T,2022,Sep,16.0
44T,2022,Oct,13.0
44T,2022,Nov,14.0
44T,2022,Dec,16.0
63T,2022,Jan,21.0
63T,2022,Feb,17.0
63T,2022,Mar,17.0
63T,2022,Apr,17.0
63T,2022,May,15.0
63T,2022,Jun,12.0
63T,2022,Jul,16.0
63T,2022,Aug,15.0
63T,2022,Sep,13.0
63T,2022,Oct,12.0
63T,2022,Nov,12.0
63T,2022,Dec,
42T,2022,Jan,17.0
42T,2022,Feb,13.0
42T,2022,Mar,15.0
42T,2022,Apr,17.0
42T,2022,May,12.0
42T,2022,Jun,11.0
42T,2022,Jul,10.0
42T,2022,Aug,10.0
42T,2022,Sep,10.0
42T,2022,Oct,10.0
42T,2022,Nov,11.0
42T,2022,Dec,16.0
62T,2022,Jan,21.0
62T,2022,Feb,16.0
62T,2022,Mar,15.0
62T,2022,Apr,15.0
62T,2022,May,13.0
62T,2022,Jun,12.0
62T,2022,Jul,15.0
62T,2022,Aug,13.0
62T,2022,Sep,13.0
62T,2022,Oct,11.0
62T,2022,Nov,12.0
62T,2022,Dec,
89T,2022,Jan,20.0
89T,2022,Feb,15.0
89T,2022,Mar,16.0
89T,2022,Apr,18.0
89T,2022,May,13.0
89T,2022,Jun,14.0
89T,2022,Jul,13.0
89T,2022,Aug,14.0
89T,2022,Sep,13.0
89T,2022,Oct,13.0
89T,2022,Nov,13.0
89T,2022,Dec,14.0
43T,2022,Jan,16.0
43T,2022,Feb,13.0
43T,2022,Mar,14.0
43T,2022,Apr,15.0
43T,2022,May,12.0
43T,2022,Jun,9.0
43T,2022,Jul,11.0
43T,2022,Aug,10.0
43T,2022,Sep,10.0
43T,2022,Oct,10.0
43T,2022,Nov,14.0
43T,2022,Dec,16.0
73T,2023,Jan,33.0
73T,2023,Feb,60.0
73T,2023,Mar,170.0
73T,2023,Apr,171.0
73T,2023,May,31.0
73T,2023,Jun,16.0
73T,2023,Jul,13.0
73T,2023,Aug,14.0
73T,2023,Sep,13.0
73T,2023,Oct,15.0
73T,2023,Nov,25.0
73T,2023,Dec,29.0
81T,2023,Jan,35.0
81T,2023,Feb,39.0
81T,2023,Mar,39.0
81T,2023,Apr,36.0
81T,2023,May,19.0
81T,2023,Jun,13.0
81T,2023,Jul,11.0
81T,2023,Aug,13.0
81T,2023,Sep,12.0
81T,2023,Oct,18.0
81T,2023,Nov,27.0
81T,2023,Dec,35.0
57T,2023,Jan,34.0
57T,2023,Feb,56.0
57T,2023,Mar,109.0
57T,2023,Apr,119.0
57T,2023,May,27.0
57T,2023,Jun,11.0
57T,2023,Jul,8.0
57T,2023,Aug,8.0
57T,2023,Sep,7.0
57T,2023,Oct,8.0
57T,2023,Nov,17.0
57T,2023,Dec,24.0
27T,2023,Jan,36.0
27T,2023,Feb,36.0
27T,2023,Mar,38.0
27T,2023,Apr,32.0
27T,2023,May,19.0
27T,2023,Jun,13.0
27T,2023,Jul,14.0
27T,2023,Aug,17.0
27T,2023,Sep,15.0
27T,2023,Oct,23.0
27T,2023,Nov,41.0
27T,2023,Dec,50.0
14T,2023,Jan,39.0
14T,2023,Feb,40.0
14T,2023,Mar,42.0
14T,2023,Apr,39.0
14T,2023,May,25.0
14T,2023,Jun,18.0
14T,2023,Jul,17.0
14T,2023,Aug,20.0
14T,2023,Sep,17.0
14T,2023,Oct,25.0
14T,2023,Nov,32.0
14T,2023,Dec,37.0
19T,2023,Jan,29.0
19T,2023,Feb,36.0
19T,2023,Mar,32.0
19T,2023,Apr,31.0
19T,2023,May,22.0
19T,2023,Jun,15.0
19T,2023,Jul,16.0
19T,2023,Aug,17.0
19T,2023,Sep,15.0
19T,2023,Oct,20.0
19T,2023,Nov,23.0
19T,2023,Dec,28.0
18T,2023,Jan,39.0
18T,2023,Feb,49.0
18T,2023,Mar,41.0
18T,2023,Apr,43.0
18T,2023,May,28.0
18T,2023,Jun,20.0
18T,2023,Jul,20.0
18T,2023,Aug,21.0
18T,2023,Sep,19.0
18T,2023,Oct,27.0
18T,2023,Nov,38.0
18T,2023,Dec,44.0
16T,2023,Jan,
16T,2023,Feb,32.0
16T,2023,Mar,28.0
16T,2023,Apr,38.0
16T,2023,May,20.0
16T,2023,Jun,12.0
16T,2023,Jul,12.0
16T,2023,Aug,14.0
16T,2023,Sep,12.0
16T,2023,Oct,18.0
16T,2023,Nov,22.0
16T,2023,Dec,27.0
08T,2023,Jan,33.0
08T,2023,Feb,39.0
08T,2023,Mar,38.0
08T,2023,Apr,38.0
08T,2023,May,23.0
08T,2023,Jun,16.0
08T,2023,Jul,18.0
08T,2023,Aug,20.0
08T,2023,Sep,16.0
08T,2023,Oct,24.0
08T,2023,Nov,29.0
08T,2023,Dec,36.0
22T,2023,Jan,33.0
22T,2023,Feb,51.0
22T,2023,Mar,48.0
22T,2023,Apr,35.0
22T,2023,May,21.0
22T,2023,Jun,13.0
22T,2023,Jul,11.0
22T,2023,Aug,14.0
22T,2023,Sep,11.0
22T,2023,Oct,21.0
22T,2023,Nov,32.0
22T,2023,Dec,42.0
20T,2023,Jan,35.0
20T,2023,Feb,43.0
20T,2023,Mar,42.0
20T,2023,Apr,36.0
20T,2023,May,24.0
20T,2023,Jun,14.0
20T,2023,Jul,13.0
20T,2023,Aug,15.0
20T,2023,Sep,13.0
20T,2023,Oct,19.0
20T,2023,Nov,25.0
20T,2023,Dec,31.0
61T,2023,Jan,28.0
61T,2023,Feb,31.0
61T,2023,Mar,32.0
61T,2023,Apr,31.0
61T,2023,May,20.0
61T,2023,Jun,13.0
61T,2023,Jul,13.0
61T,2023,Aug,14.0
61T,2023,Sep,13.0
61T,2023,Oct,17.0
61T,2023,Nov,21.0
61T,2023,Dec,25.0
13T,2023,Jan,30.0
13T,2023,Feb,35.0
13T,2023,Mar,35.0
13T,2023,Apr,33.0
13T,2023,May,19.0
13T,2023,Jun,10.0
13T,2023,Jul,9.0
13T,2023,Aug,12.0
13T,2023,Sep,9.0
13T,2023,Oct,17.0
13T,2023,Nov,23.0
13T,2023,Dec,29.0
59T,2023,Jan,24.0
59T,2023,Feb,27.0
59T,2023,Mar,29.0
59T,2023,Apr,30.0
59T,2023,May,18.0
59T,2023,Jun,10.0
59T,2023,Jul,10.0
59T,2023,Aug,11.0
59T,2023,Sep,9.0
59T,2023,Oct,14.0
59T,2023,Nov,17.0
59T,2023,Dec,21.0
54R,2023,Jan,38.0
54R,2023,Feb,43.0
54R,2023,Mar,45.0
54R,2023,Apr,47.0
54R,2023,May,32.0
54R,2023,Jun,22.0
54R,2023,Jul,24.0
54R,2023,Aug,21.0
54R,2023,Sep,22.0
54R,2023,Oct,31.0
54R,2023,Nov,33.0
54R,2023,Dec,37.0
53R,2023,Jan,38.0
53R,2023,Feb,40.0
53R,2023,Mar,39.0
53R,2023,Apr,34.0
53R,2023,May,22.0
53R,2023,Jun,13.0
53R,2023,Jul,13.0
53R,2023,Aug,14.0
53R,2023,Sep,15.0
53R,2023,Oct,22.0
53R,2023,Nov,29.0
53R,2023,Dec,34.0
52R,2023,Jan,34.0
52R,2023,Feb,38.0
52R,2023,Mar,37.0
52R,2023,Apr,38.0
52R,2023,May,24.0
52R,2023,Jun,15.0
52R,2023,Jul,14.0
52R,2023,Aug,16.0
52R,2023,Sep,16.0
52R,2023,Oct,24.0
52R,2023,Nov,30.0
52R,2023,Dec,34.0
50R,2023,Jan,
50R,2023,Feb,36.0
50R,2023,Mar,40.0
50R,2023,Apr,39.0
50R,2023,May,26.0
50R,2023,Jun,17.0
50R,2023,Jul,17.0
50R,2023,Aug,19.0
50R,2023,Sep,18.0
50R,2023,Oct,24.0
50R,2023,Nov,27.0
50R,2023,Dec,32.0
11T,2023,Jan,31.0
11T,2023,Feb,35.0
11T,2023,Mar,37.0
11T,2023,Apr,39.0
11T,2023,May,23.0
11T,2023,Jun,14.0
11T,2023,Jul,13.0
11T,2023,Aug,17.0
11T,2023,Sep,14.0
11T,2023,Oct,19.0
11T,2023,Nov,24.0
11T,2023,Dec,28.0
12T,2023,Jan,30.0
12T,2023,Feb,40.0
12T,2023,Mar,40.0
12T,2023,Apr,40.0
12T,2023,May,22.0
12T,2023,Jun,13.0
12T,2023,Jul,12.0
12T,2023,Aug,14.0
12T,2023,Sep,12.0
12T,2023,Oct,17.0
12T,2023,Nov,22.0
12T,2023,Dec,28.0
10T,2023,Jan,30.0
10T,2023,Feb,33.0
10T,2023,Mar,33.0
10T,2023,Apr,32.0
10T,2023,May,22.0
10T,2023,Jun,13.0
10T,2023,Jul,12.0
10T,2023,Aug,13.0
10T,2023,Sep,11.0
10T,2023,Oct,11.0
10T,2023,Nov,21.0
10T,2023,Dec,27.0
02T,2023,Jan,36.0
02T,2023,Feb,40.0
02T,2023,Mar,40.0
02T,2023,Apr,40.0
02T,2023,May,25.0
02T,2023,Jun,15.0
02T,2023,Jul,14.0
02T,2023,Aug,16.0
02T,2023,Sep,17.0
02T,2023,Oct,26.0
02T,2023,Nov,32.0
02T,2023,Dec,38.0
03R,2023,Jan,38.0
03R,2023,Feb,67.0
03R,2023,Mar,62.0
03R,2023,Apr,56.0
03R,2023,May,32.0
03R,2023,Jun,23.0
03R,2023,Jul,20.0
03R,2023,Aug,22.0
03R,2023,Sep,20.0
03R,2023,Oct,28.0
03R,2023,Nov,34.0
03R,2023,Dec,38.0
05T,2023,Jan,34.0
05T,2023,Feb,39.0
05T,2023,Mar,38.0
05T,2023,Apr,38.0
05T,2023,May,23.0
05T,2023,Jun,15.0
05T,2023,Jul,15.0
05T,2023,Aug,16.0
05T,2023,Sep,16.0
05T,2023,Oct,21.0
05T,2023,Nov,26.0
05T,2023,Dec,31.0
35T,2023,Jan,33.0
35T,2023,Feb,51.0
35T,2023,Mar,88.0
35T,2023,Apr,105.0
35T,2023,May,31.0
35T,2023,Jun,16.0
35T,2023,Jul,12.0
35T,2023,Aug,15.0
35T,2023,Sep,11.0
35T,2023,Oct,12.0
35T,2023,Nov,19.0
35T,2023,Dec,24.0
36T,2023,Jan,34.0
36T,2023,Feb,52.0
36T,2023,Mar,80.0
36T,2023,Apr,106.0
36T,2023,May,26.0
36T,2023,Jun,11.0
36T,2023,Jul,8.0
36T,2023,Aug,17.0
36T,2023,Sep,10.0
36T,2023,Oct,12.0
36T,2023,Nov,18.0
36T,2023,Dec,22.0
98T,2023,Jan,40.0
98T,2023,Feb,49.0
98T,2023,Mar,58.0
98T,2023,Apr,62.0
98T,2023,May,27.0
98T,2023,Jun,14.0
98T,2023,Jul,13.0
98T,2023,Aug,16.0
98T,2023,Sep,13.0
98T,2023,Oct,16.0
98T,2023,Nov,27.0
98T,2023,Dec,37.0
94T,2023,Jan,35.0
94T,2023,Feb,55.0
94T,2023,Mar,70.0
94T,2023,Apr,64.0
94T,2023,May,23.0
94T,2023,Jun,9.0
94T,2023,Jul,7.0
94T,2023,Aug,11.0
94T,2023,Sep,7.0
94T,2023,Oct,9.0
94T,2023,Nov,18.0
94T,2023,Dec,26.0
95T,2023,Jan,36.0
95T,2023,Feb,44.0
95T,2023,Mar,58.0
95T,2023,Apr,56.0
95T,2023,May,23.0
95T,2023,Jun,10.0
95T,2023,Jul,10.0
95T,2023,Aug,15.0
95T,2023,Sep,8.0
95T,2023,Oct,9.0
95T,2023,Nov,24.0
95T,2023,Dec,34.0
97T,2023,Jan,31.0
97T,2023,Feb,47.0
97T,2023,Mar,62.0
97T,2023,Apr,52.0
97T,2023,May,28.0
